cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
3,3,0,1940,2.926180,"192.168.10.196","192.168.10.184",6,54,0,0.003642,0x0010,2411958,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2411958 Win=212992 Len=0"
4,3,0,1941,2.926300,"192.168.10.184","192.168.10.196",6,1514,1460,0.000120,0x0010,1,2619278,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1942,2.926301,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2620738,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,1943,2.926302,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2622198,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,0,1944,3.040879,"192.168.10.196","192.168.10.184",6,54,0,0.114577,0x0010,2426558,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2426558 Win=212992 Len=0"
8,3,1,1945,3.041020,"192.168.10.184","192.168.10.196",6,1514,1460,0.000141,0x0010,1,2623658,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,4,0,1946,3.041021,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2625118,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,4,0,1947,3.041022,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2626578,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,4,0,1948,3.041023,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2628038,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,4,1,1949,3.041023,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2629498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1950,3.041024,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2630958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1951,3.041025,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2632418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1952,3.041025,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2633878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1953,3.041026,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2635338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1954,3.041027,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2636798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1955,3.041758,"192.168.10.196","192.168.10.184",6,54,0,0.000731,0x0010,2442618,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2442618 Win=212992 Len=0"
5,3,0,1956,3.041904,"192.168.10.184","192.168.10.196",6,1514,1460,0.000146,0x0010,1,2638258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,1957,3.041905,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2639718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1958,3.041906,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2641178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1959,3.041907,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2642638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1960,3.041907,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2644098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1961,3.041908,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2645558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1962,3.041909,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2647018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1963,3.041909,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2648478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1964,3.041910,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2649938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1965,3.041910,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2651398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1966,3.041911,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2652858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1967,3.042282,"192.168.10.196","192.168.10.184",6,54,0,0.000371,0x0010,2468898,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2468898 Win=212992 Len=0"
4,3,0,1968,3.042425,"192.168.10.184","192.168.10.196",6,1514,1460,0.000143,0x0010,1,2654318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1969,3.042426,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2655778,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,1970,3.042427,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2657238,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1971,3.042428,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2658698,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1972,3.042428,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2660158,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1973,3.042429,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2661618,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1974,3.042429,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2663078,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1975,3.042430,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2664538,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1976,3.042431,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2665998,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1977,3.042432,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2667458,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1978,3.042432,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2668918,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1979,3.042433,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2670378,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1980,3.042434,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2671838,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1981,3.042435,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2673298,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1982,3.042435,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2674758,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1983,3.042436,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2676218,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1984,3.042436,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2677678,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1985,3.042437,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2679138,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1986,3.043941,"192.168.10.196","192.168.10.184",6,54,0,0.001504,0x0010,2486418,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2486418 Win=212992 Len=0"
6,3,0,1987,3.044092,"192.168.10.184","192.168.10.196",6,1514,1460,0.000151,0x0010,1,2680598,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1988,3.044093,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2682058,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1989,3.044094,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2683518,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
